source,target,inter
miR-141-3p,NONMMUG012821.3,3
miR-155-5p,NONMMUG053867.1,3
miR-155-5p,NONMMUG045662.3,3
miR-155-5p,NONMMUG029868.3,4
miR-143-3p,NONMMUG004888.2,3
miR-143-3p,NONMMUG008648.2,4
miR-143-3p,NONMMUG031025.2,3
miR-143-3p,NONMMUG032544.2,3
miR-143-3p,NONMMUG032550.2,6
miR-143-3p,NONMMUG015818.3,4
miR-143-3p,NONMMUG063564.2,3
miR-143-3p,NONMMUG021081.2,5
miR-143-3p,NONMMUG085369.1,3
miR-143-3p,NONMMUG094550.1,3
miR-143-3p,NONMMUG042692.3,3
miR-153-3p,NONMMUG021081.2,3
miR-132-3p,NONMMUG038314.3,3
miR-132-3p,NONMMUG021079.2,3
miR-132-3p,NONMMUG024854.2,3
miR-375-3p,NONMMUG050342.2,3
miR-375-3p,NONMMUG026522.2,3
miR-375-3p,NONMMUG030273.3,3
miR-375-3p,NONMMUG032550.2,3
miR-375-3p,NONMMUG033250.2,3
miR-375-3p,NONMMUG035509.2,3
miR-375-3p,NONMMUG045553.2,3
miR-375-3p,NONMMUG001802.2,3
miR-375-3p,NONMMUG057409.1,3
miR-375-3p,NONMMUG057419.1,3
miR-375-3p,NONMMUG015144.3,4
miR-375-3p,NONMMUG018032.2,3
miR-375-3p,NONMMUG021079.2,3
miR-375-3p,NONMMUG024632.3,3
miR-375-3p,NONMMUG035402.2,4
miR-375-3p,NONMMUG038184.3,3
miR-375-3p,NONMMUG029868.3,3
miR-375-3p,NONMMUG035335.3,3
miR-375-3p,NONMMUG086368.2,4
miR-24-3p,NONMMUG019950.2,3
miR-24-3p,NONMMUG005677.3,3
miR-17-5p,NONMMUG018615.2,3
miR-17-5p,NONMMUG004084.2,3
miR-17-5p,NONMMUG010287.2,3
miR-17-5p,NONMMUG021081.2,3
miR-17-5p,NONMMUG038049.2,4
miR-17-5p,NONMMUG081423.1,3
miR-17-5p,NONMMUG015569.3,3
miR-17-5p,NONMMUG029868.3,3
miR-25-3p,ENSMUSG00000095332,3
miR-25-3p,NONMMUG029262.3,4
miR-25-3p,NONMMUG035013.2,3
miR-25-3p,NONMMUG038314.3,3
miR-25-3p,NONMMUG035335.3,3
miR-182-5p,NONMMUG011676.2,3
miR-223-3p,NONMMUG004888.2,3
miR-223-3p,NONMMUG037564.2,3
miR-223-3p,NONMMUG019995.2,3
miR-223-3p,NONMMUG039853.3,3
miR-128-3p,NONMMUG009325.3,3
miR-128-3p,NONMMUG021614.2,3
miR-128-3p,NONMMUG001802.2,3
miR-128-3p,NONMMUG021079.2,3
miR-128-3p,NONMMUG067335.1,10
miR-128-3p,NONMMUG077936.1,3
miR-128-3p,NONMMUG084236.1,19
miR-128-3p,NONMMUG035335.3,3
miR-139-5p,NONMMUG039883.2,3
miR-183-5p,NONMMUG026289.2,3
miR-183-5p,NONMMUG067335.1,6
miR-183-5p,NONMMUG032651.2,4
miR-183-5p,NONMMUG077936.1,3
miR-183-5p,NONMMUG045662.3,3
miR-101a-3p,NONMMUG026043.2,3
let-7-5p,NONMMUG034580.3,3
miR-15-5p,NONMMUG084608.2,3
miR-15-5p,NONMMUG032557.2,3
miR-15-5p,NONMMUG035402.2,4
miR-15-5p,NONMMUG015569.3,3
miR-15-5p,NONMMUG033067.3,3
miR-27-3p,NONMMUG016169.2,3
miR-27-3p,NONMMUG041169.2,3
miR-27-3p,NONMMUG067335.1,10
miR-27-3p,NONMMUG033312.3,4
miR-27-3p,NONMMUG035335.3,3
miR-181-5p,NONMMUG008634.2,3
miR-181-5p,NONMMUG008648.2,19
miR-181-5p,NONMMUG037820.3,3
miR-181-5p,NONMMUG029868.3,3
miR-21-5p,NONMMUG010126.2,3
miR-21-5p,NONMMUG035335.3,3
miR-26-5p,NONMMUG027215.2,3
miR-26-5p,NONMMUG035509.2,3
miR-26-5p,NONMMUG026043.2,4
miR-26-5p,NONMMUG039070.2,3
miR-26-5p,NONMMUG035335.3,3
miR-101-3p,NONMMUG017197.2,4
miR-101-3p,NONMMUG021081.2,3
miR-101-3p,NONMMUG015569.3,3
miR-7-5p,NONMMUG016169.2,4
miR-7-5p,NONMMUG027686.2,3
miR-7-5p,NONMMUG029262.3,3
miR-7-5p,NONMMUG037564.2,3
miR-7-5p,NONMMUG038314.3,4
miR-7-5p,NONMMUG053859.1,3
miR-7-5p,NONMMUG015818.3,4
miR-7-5p,NONMMUG065517.1,3
miR-7-5p,NONMMUG021079.2,3
miR-7-5p,NONMMUG021081.2,5
miR-7-5p,NONMMUG024632.3,3
miR-7-5p,NONMMUG037997.3,3
miR-7-5p,NONMMUG090711.1,4
miR-7-5p,NONMMUG033312.3,3
miR-7-5p,NONMMUG094550.1,3
miR-34-5p,NONMMUG037564.2,3
miR-219-5p,NONMMUG047820.2,3
miR-219-5p,NONMMUG005677.3,3
miR-125-5p,NONMMUG065517.1,4
miR-125-5p,NONMMUG039070.2,3
miR-141-3p,Cdh11,1
miR-200b-3p,Zeb1,1
miR-141-3p,Zeb1,1
miR-155-5p,Trp53inp1,1
miR-155-5p,Maf,1
miR-143-3p,Prkce,1
miR-155-5p,Pea15a,1
miR-153-3p,Tbx3,1
miR-132-3p,Mmp9,1
miR-200b-3p,Flt1,1
miR-375-3p,Yap1,1
miR-24-3p,Bcl2l11,1
miR-132-3p,Ptbp2,1
miR-143-3p,Ptn,1
miR-155-5p,Tspan14,1
miR-17-5p,Bcl2l11,1
miR-132-3p,Nr4a2,1
miR-25-3p,Wwp2,1
miR-182-5p,Tbx1,1
miR-375-3p,Elavl4,1
miR-223-3p,Igf1r,1
miR-24-3p,Neurod1,1
miR-17-5p,Zfpm2,1
miR-128-3p,Runx1,1
miR-155-5p,Nr1h3,1
miR-24-3p,Jph2,1
miR-17-5p,Trp53inp1,1
miR-17-5p,Tbx3,1
miR-17-5p,Osr1,1
miR-155-5p,Cd209a,1
miR-17-5p,Timp2,1
miR-17-5p,Tceal1,1
miR-200b-3p,Zfpm2,1
miR-132-3p,Ache,1
miR-141-3p,Slc23a2,1
miR-153-3p,Cacna1c,1
miR-223-3p,Il17rd,1
miR-139-5p,Notch1,1
miR-200b-3p,Cited2,1
miR-153-3p,Slc4a4,1
miR-132-3p,Sox4,1
miR-223-3p,Lif,1
miR-200b-3p,Jun,1
miR-24-3p,Tcf7,1
miR-183-5p,Sdc2,1
miR-101a-3p,Ackr3,1
miR-101a-3p,Neurod1,1
let-7-5p,Hoxa9,1
miR-15-5p,Ccnd1,1
miR-15-5p,Bcl2,1
miR-27-3p,Runx1,1
miR-181-5p,Bcl2,1
let-7-5p,Hmga2,1
miR-21-5p,Reck,1
miR-26-5p,Ezh2,1
let-7-5p,Sall4,1
let-7-5p,Myc,1
miR-101-3p,Stc1,1
miR-7-5p,Hells,1
miR-34-5p,Bcl2,1
miR-219-5p,Camk2g,1
miR-125-5p,Smo,1
miR-219-5p,Sox6,1
miR-181-5p,Timp3,1
miR-125-5p,Ajuba,1
let-7-5p,Drd3,1
miR-125-5p,Tnf,1
miR-26-5p,Lef1,1
miR-125-5p,Bak1,1
miR-125-5p,Jun,1
miR-34-5p,Notch1,1
miR-125-5p,Cbx7,1
miR-181-5p,Cbx7,1
miR-21-5p,Tgfbi,1
miR-125-5p,Suv39h1,1
miR-34-5p,Dll1,1
miR-125-5p,Cbfb,1
miR-181-5p,Tgfbi,1
miR-34-5p,Vcl,1
miR-34-5p,Sema4b,1
miR-27-3p,Smad9,1
miR-34-5p,Gas1,1
miR-21-5p,Smad7,1
miR-34-5p,Ccnd1,1
miR-21-5p,Eif4e3,1
miR-34-5p,Cdk6,1
miR-181-5p,Hspa5,1
miR-181-5p,Runx1,1
miR-21-5p,Mmp9,1
miR-7-5p,Parp1,1
miR-27-3p,Dtna,1
miR-26-5p,Wnt5a,1
miR-181-5p,Idh1,1
miR-7-5p,Pax6,1
miR-15-5p,Nr2c2,1
miR-34-5p,Syt1,1
miR-34-5p,Wasf1,1
miR-101-3p,Ackr3,1
miR-101-3p,Neurod1,1
miR-181-5p,Tgfb1,1
